series_id,obs_date,value
WHO_SDG:SDGIHR2021.AMR.IHRSPARCAPACITYLEVEL_C10.IHRSPARINDICATORSCORE_C10.A,2021-01-01,66.0
WHO_SDG:SDGIHR2021.AMR.IHRSPARCAPACITYLEVEL_C10.IHRSPARINDICATORSCORE_C10.A,2022-01-01,67.0
WHO_SDG:SDGIHR2021.AMR.IHRSPARCAPACITYLEVEL_C10.IHRSPARINDICATORSCORE_C10.A,2023-01-01,68.0
WHO_SDG:SDGIHR2021.AMR.IHRSPARCAPACITYLEVEL_C10.IHRSPARINDICATORSCORE_C10.A,2024-01-01,66.0
WHO_SDG:SDGIHR2021.AMR.IHRSPARCAPACITYLEVEL_C10.IHRSPARINDICATORSCORE_C10.A,2025-01-01,65.0
