series_id,obs_date,value
curve-dex|__total__,2020-02-09,1163733.0
curve-dex|__total__,2020-02-10,1372109.0
curve-dex|__total__,2020-02-11,8936.0
curve-dex|__total__,2020-02-12,38139.0
curve-dex|__total__,2020-02-13,273331.0
curve-dex|__total__,2020-02-14,1213755.0
curve-dex|__total__,2020-02-15,1820510.0
curve-dex|__total__,2020-02-16,2201773.0
curve-dex|__total__,2020-02-17,3759265.0
curve-dex|__total__,2020-02-18,4744228.0
curve-dex|__total__,2020-02-19,4722690.0
curve-dex|__total__,2020-02-20,4878760.0
curve-dex|__total__,2020-02-21,5463582.0
curve-dex|__total__,2020-02-22,5858274.0
curve-dex|__total__,2020-02-23,5858033.0
curve-dex|__total__,2020-02-24,6609923.0
curve-dex|__total__,2020-02-25,6922673.0
curve-dex|__total__,2020-02-26,7070846.0
curve-dex|__total__,2020-02-27,7379504.0
curve-dex|__total__,2020-02-28,6546834.0
curve-dex|__total__,2020-02-29,6220751.0
curve-dex|__total__,2020-03-01,6165412.0
curve-dex|__total__,2020-03-02,7728222.0
curve-dex|__total__,2020-03-03,8017541.0
curve-dex|__total__,2020-03-04,8634720.0
curve-dex|__total__,2020-03-05,8502678.0
curve-dex|__total__,2020-03-06,8719687.0
curve-dex|__total__,2020-03-07,9284550.0
curve-dex|__total__,2020-03-08,9389837.0
curve-dex|__total__,2020-03-09,9428474.0
curve-dex|__total__,2020-03-10,9435472.0
curve-dex|__total__,2020-03-11,9879108.0
curve-dex|__total__,2020-03-12,9685931.0
curve-dex|__total__,2020-03-13,8327827.0
curve-dex|__total__,2020-03-14,8677925.0
curve-dex|__total__,2020-03-15,9219342.0
curve-dex|__total__,2020-03-16,10059294.0
curve-dex|__total__,2020-03-17,9750298.0
curve-dex|__total__,2020-03-18,9845306.0
curve-dex|__total__,2020-03-19,9449456.0
curve-dex|__total__,2020-03-20,9733492.0
curve-dex|__total__,2020-03-21,9733634.0
curve-dex|__total__,2020-03-22,9478976.0
curve-dex|__total__,2020-03-23,8861705.0
curve-dex|__total__,2020-03-24,8907410.0
curve-dex|__total__,2020-03-25,8837491.0
curve-dex|__total__,2020-03-26,8308593.0
curve-dex|__total__,2020-03-27,8336110.0
curve-dex|__total__,2020-03-28,8222028.0
curve-dex|__total__,2020-03-29,8245852.0
curve-dex|__total__,2020-03-30,8230167.0
curve-dex|__total__,2020-03-31,8352047.0
curve-dex|__total__,2020-04-01,8296823.0
curve-dex|__total__,2020-04-02,8256559.0
curve-dex|__total__,2020-04-03,8332824.0
curve-dex|__total__,2020-04-04,8403195.0
curve-dex|__total__,2020-04-05,8425144.0
curve-dex|__total__,2020-04-06,8414112.0
curve-dex|__total__,2020-04-07,8612067.0
curve-dex|__total__,2020-04-08,8773125.0
curve-dex|__total__,2020-04-09,8798742.0
curve-dex|__total__,2020-04-10,9201425.0
curve-dex|__total__,2020-04-11,8842564.0
curve-dex|__total__,2020-04-12,8958124.0
curve-dex|__total__,2020-04-13,9345173.0
curve-dex|__total__,2020-04-14,8712066.0
curve-dex|__total__,2020-04-15,8906671.0
curve-dex|__total__,2020-04-16,7932635.0
curve-dex|__total__,2020-04-17,7815798.0
curve-dex|__total__,2020-04-18,7870971.0
curve-dex|__total__,2020-04-19,7998600.0
curve-dex|__total__,2020-04-20,6914533.0
curve-dex|__total__,2020-04-21,6365744.0
curve-dex|__total__,2020-04-22,6268488.0
curve-dex|__total__,2020-04-23,7734405.0
curve-dex|__total__,2020-04-24,10812138.0
curve-dex|__total__,2020-04-25,11405445.0
curve-dex|__total__,2020-04-26,12002871.0
curve-dex|__total__,2020-04-27,12209819.0
curve-dex|__total__,2020-04-28,12344466.0
curve-dex|__total__,2020-04-29,12409473.0
curve-dex|__total__,2020-04-30,12697303.0
curve-dex|__total__,2020-05-01,12553192.0
curve-dex|__total__,2020-05-02,12615378.0
curve-dex|__total__,2020-05-03,12786795.0
curve-dex|__total__,2020-05-04,12955746.0
curve-dex|__total__,2020-05-05,12878031.0
curve-dex|__total__,2020-05-06,13031401.0
curve-dex|__total__,2020-05-07,13939214.0
curve-dex|__total__,2020-05-08,14400117.0
curve-dex|__total__,2020-05-09,14297036.0
curve-dex|__total__,2020-05-10,14378242.0
curve-dex|__total__,2020-05-11,13965069.0
curve-dex|__total__,2020-05-12,14308016.0
curve-dex|__total__,2020-05-13,14363007.0
curve-dex|__total__,2020-05-14,14373353.0
curve-dex|__total__,2020-05-15,15380944.0
curve-dex|__total__,2020-05-16,15379380.0
curve-dex|__total__,2020-05-17,15595507.0
curve-dex|__total__,2020-05-18,15652181.0
curve-dex|__total__,2020-05-19,15527071.0
curve-dex|__total__,2020-05-20,15682537.0
curve-dex|__total__,2020-05-21,15813509.0
curve-dex|__total__,2020-05-22,15705677.0
curve-dex|__total__,2020-05-23,15816506.0
curve-dex|__total__,2020-05-24,15339331.0
curve-dex|__total__,2020-05-25,15091233.0
curve-dex|__total__,2020-05-26,15109405.0
curve-dex|__total__,2020-05-27,15091761.0
curve-dex|__total__,2020-05-28,15108738.0
curve-dex|__total__,2020-05-29,15084472.0
curve-dex|__total__,2020-05-30,15163289.0
curve-dex|__total__,2020-05-31,15328991.0
curve-dex|__total__,2020-06-01,15319069.0
curve-dex|__total__,2020-06-02,15512141.0
curve-dex|__total__,2020-06-03,15146809.0
curve-dex|__total__,2020-06-04,15069162.0
curve-dex|__total__,2020-06-05,15139177.0
curve-dex|__total__,2020-06-06,15163362.0
curve-dex|__total__,2020-06-07,15312759.0
curve-dex|__total__,2020-06-08,15355030.0
curve-dex|__total__,2020-06-09,15433570.0
curve-dex|__total__,2020-06-10,15496889.0
curve-dex|__total__,2020-06-11,16380139.0
curve-dex|__total__,2020-06-12,16682313.0
curve-dex|__total__,2020-06-13,17014578.0
curve-dex|__total__,2020-06-14,17246158.0
curve-dex|__total__,2020-06-15,17183677.0
curve-dex|__total__,2020-06-16,16842637.0
curve-dex|__total__,2020-06-17,16282542.0
curve-dex|__total__,2020-06-18,16228128.0
curve-dex|__total__,2020-06-19,17699445.0
curve-dex|__total__,2020-06-20,20709987.0
curve-dex|__total__,2020-06-21,33528559.0
curve-dex|__total__,2020-06-22,36070920.0
curve-dex|__total__,2020-06-23,36301201.0
curve-dex|__total__,2020-06-24,37549857.0
curve-dex|__total__,2020-06-25,43399952.0
curve-dex|__total__,2020-06-26,46545535.0
curve-dex|__total__,2020-06-27,48450667.0
curve-dex|__total__,2020-06-28,50989736.0
curve-dex|__total__,2020-06-29,50659646.0
curve-dex|__total__,2020-06-30,51160758.0
curve-dex|__total__,2020-07-01,50517255.0
curve-dex|__total__,2020-07-02,52028684.0
curve-dex|__total__,2020-07-03,52583727.0
curve-dex|__total__,2020-07-04,56825075.0
curve-dex|__total__,2020-07-05,58388016.0
curve-dex|__total__,2020-07-06,59171555.0
curve-dex|__total__,2020-07-07,61294035.0
curve-dex|__total__,2020-07-08,61899813.0
curve-dex|__total__,2020-07-09,69866695.0
